	Ensembl_ID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	response_group
47	TCGA-A2-A0CZ-01A	-0.15331747	-0.3775041	0.6016677	-0.90723395	0.62447846	-0.22572117	-0.024890747	-0.40613273	0.7803974	0.99546844	-0.04722111	0.5926042	1.443925	0.25982448	1.3046465	0.1442629	0.85724676	-0.37521577	-0.7414192	-0.15658945	-0.45340285	-0.21427992	1.2920676	-0.038363796	-0.50822866	-0.023699071	0.32947323	-1.082936	0.5701433	1.220451	-0.33854455	2.140421	-0.40670878	-0.43067297	-1.3250014	1.080741	0.30468574	-1.3683071	0.6756035	-0.7321159	-1.4397376	-0.30626738	0.715261	-1.5471189	0.9507074	0.5897593	0.36157298	0.59210634	0.4833358	1.2757947	0
48	TCGA-A2-A0D0-01A	1.0500169	-0.3940037	-0.52596784	-1.2445091	0.48997793	-0.46758643	0.16338941	0.026922219	0.3354051	0.20363197	-1.3596926	-0.7356206	-0.78158003	-2.2589574	-2.7206526	-0.047669668	-0.083829194	-1.2812634	-0.067685574	1.2296199	-0.037225585	-0.97328705	-0.8306854	1.2329605	-1.9480869	0.527292	-1.3397546	-0.28892636	-2.2432325	-1.8382074	0.99671006	0.645834	0.87544006	1.5033829	0.11044241	-0.21653678	-0.2096288	-0.6403788	-4.283823	-0.4906038	0.47256666	2.4119604	0.14983985	0.7480502	-0.79058987	-2.1647642	0.2571182	1.4078194	0.5237311	-0.9756042	0
49	TCGA-A2-A0D1-01A	0.54126257	-0.3929615	-0.24477112	-0.04884494	1.3734484	-0.17456517	-0.61458844	0.26476404	-0.8791313	0.26423976	-1.6007748	0.61240476	-0.038750626	0.3525142	-1.2788725	0.21702275	-0.6455246	0.16806819	0.7141007	-0.07284704	0.43182266	-0.35232258	-0.28585267	0.3172656	0.72076195	-0.6891595	0.25248104	-0.12146933	-0.72517097	-1.0021453	0.73364705	-0.14899021	-0.63537484	0.26372698	-0.71605825	0.2240758	-0.912691	0.41708663	-0.42649335	0.44594797	-0.4826425	0.60442346	-0.06719871	0.13359313	-0.81452686	0.40893754	-0.4340018	0.54121804	1.352567	-0.8109343	0
50	TCGA-A2-A0D2-01A	1.8593792	-0.93239707	0.58926547	0.14178059	-0.109318614	-0.098072	-0.5814604	-0.39637995	-1.196163	0.29164308	1.01864	-1.9290582	-1.064181	-0.5293614	-1.0933685	0.43202123	-0.33383796	-0.009757893	-0.6672076	-0.09258178	-1.0582289	0.15386358	-1.1279533	1.2707406	-0.99309295	-0.29307985	-0.8609513	-0.034656793	-2.2187803	-1.2386094	-0.25337514	-0.03049536	1.2390503	1.4478855	0.7074904	-0.34849396	-0.4159914	-0.11258911	-3.2298965	-0.5361879	0.14322919	1.8213807	-1.2976961	1.1558799	0.085492834	-0.057104424	0.5078596	0.23786126	0.6776949	-0.8920513	0
52	TCGA-A2-A0D4-01A	0.46629804	1.6938019	-0.5935225	-0.15492362	-0.5416747	0.14663245	-0.15263514	-0.6011123	-0.3982436	0.19021426	-0.28341264	0.65234715	-0.50643075	-1.3149319	-3.6937635	-1.7818068	-1.0645051	-0.102878034	-0.40359145	0.0233794	1.0000176	1.2839762	-0.30259365	-1.4538826	-0.71457064	0.65492773	1.1777713	0.8242665	0.7914264	-1.6200365	1.8683474	1.5173545	0.34685147	-0.44797242	-0.6560656	1.2448815	-0.6921015	-2.098355	0.71275246	0.48972556	0.26440185	-0.538595	-0.54878485	0.88519454	1.9208179	-0.2520448	0.33170217	-0.033895433	-0.2335278	-1.6596901	0
63	TCGA-A2-A0EW-01A	0.3436254	0.24672109	-0.5109335	0.74564254	0.14295468	0.7357086	-0.6477059	-1.1173816	-0.82947934	0.547318	0.88353366	0.16551398	1.0623047	-1.3939697	3.8917935	1.0430868	0.138156	0.5696298	-1.2423888	-1.1442031	-0.17086701	0.25111544	-2.1720371	-0.43348438	0.46236598	1.1699759	1.860848	0.27194598	0.40037632	1.473884	-0.6209524	-0.042219065	0.0577926	-0.3463458	0.050722405	0.35795915	-0.19925562	-0.50721323	2.8529294	-0.5784828	0.21791525	0.1762001	-0.61273146	0.3009346	-0.7792536	0.49700606	-0.74700344	-0.3778023	-0.0036685914	1.2082121	1
66	TCGA-A2-A0ST-01A	-0.31654012	0.1573366	-0.6512222	-0.14129801	-0.72280294	1.2595047	-0.24411064	1.9501855	0.124079764	0.36827874	0.6783853	0.12235586	-0.61665887	-0.19049916	1.8291371	1.4017375	-0.9686615	0.36559352	0.24702302	-0.48758185	-0.88362813	-1.6262931	-0.17720962	1.3684838	-0.9141155	0.3823045	0.67683303	-0.1751751	-1.2438772	-0.15657574	0.22436719	0.7656461	0.09107709	1.207176	-0.51479155	-1.4482752	-0.5149425	-1.9511294	0.123148285	1.1129317	0.21607172	0.3515088	0.3106375	1.0257144	0.18313992	0.2362847	0.18838817	-0.28128865	-0.9447569	-0.023414709	0
70	TCGA-A2-A0SX-01A	0.5363267	-0.2542979	-0.5208556	-0.71109974	0.16966917	1.3532293	-1.222168	1.8264252	-0.5386214	0.84884185	0.11227722	-0.48392498	0.17607036	-0.14311439	1.2929738	1.8724524	-1.6237789	0.59005886	-0.020978898	-0.7894703	-0.934373	-1.1457235	0.91503465	1.379978	-0.06882814	-0.26719722	0.38100648	1.356035	-1.9639945	-0.9461195	0.7864531	-0.2753987	0.32488334	1.763522	-0.15213583	-1.5023555	0.48583335	1.1782042	0.02765809	-1.2282526	-0.5770493	0.84006697	2.3624618	-0.5970878	-1.6497325	-2.1390948	-0.47662872	-0.4642246	-0.016991839	-0.6172573	1
71	TCGA-A2-A0SY-01A	-0.17317127	-0.2426712	0.2045253	-1.0957341	-0.5215049	0.27806363	-0.40093163	-0.59017503	-0.48501745	0.36264014	0.9763145	-0.31366223	-0.66859376	-1.4268705	1.2445099	-0.06611383	0.67019856	-0.017864868	2.4144897	-0.41360688	-0.6447788	-0.17724065	1.0162847	0.8077569	-0.21104534	0.11710631	0.6441586	0.5244479	0.32073858	0.9635104	-0.22537835	-0.22691107	0.7636368	-0.082791656	-0.26126477	0.9104071	-0.32913205	-0.65087473	1.3549016	-0.12211161	-0.7394868	0.16075458	0.20746037	0.79747295	0.5078495	-0.01438567	-0.30600753	0.13401872	-0.4711935	0.86278796	0
72	TCGA-A2-A0T0-01A	1.4264183	-0.38034737	-0.5327955	-0.03565739	-0.99482423	-0.47233793	-0.54425156	-0.3906221	-0.22695461	-1.2505866	-0.24411282	0.34452927	-0.78366035	0.796593	-0.6022259	0.02150273	0.19822106	-0.4097524	0.5096949	0.053621303	-0.64019245	0.11728418	0.32126892	-0.34495586	-0.44659868	-0.7023139	-0.48761433	0.09845014	-1.7430067	-0.6569241	0.15277372	-1.0225141	-0.24430968	0.9071475	0.61619115	0.62289983	1.1822844	-0.3421008	-2.1920078	-0.9263732	0.6826693	1.0735515	-0.95601827	-0.579465	-0.1343059	0.076690465	-0.03234972	0.5827492	0.6701523	0.06831084	0
