	Ensembl_ID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	response_group
839	TCGA-D8-A1JJ-01A	-1.3510839	1.0998642	0.00451003	-1.571634	0.062364124	0.040223435	1.2285632	-0.6481806	2.1983585	-0.5825616	-0.532615	-0.7493704	-0.67962515	0.39566112	0.3047161	0.03509712	-0.6813272	-0.7211855	2.286274	0.4332472	-0.61945343	0.18644318	-1.3594681	-0.10172117	-0.62825584	-0.6057348	1.5883714	-0.6187112	0.24529235	0.21205303	0.33444855	0.018563792	-1.5486816	-0.29377118	3.2523255	-0.4243833	-1.3690977	0.092492476	-0.3190605	-0.3423662	-0.38374448	1.3407336	-0.14777017	0.7308579	0.6636067	-0.4319922	-1.2456764	0.21392003	0.18499295	-1.6163213	0
851	TCGA-D8-A1X8-01A	-2.5869703	0.95359933	1.1359859	2.92662	0.31810874	-0.22249448	-0.14748351	0.83341765	-0.4237842	-1.4707396	1.8909528	-0.62819344	0.051087037	-1.1574527	-0.7647654	0.6983432	-0.038639702	1.4627862	1.6829537	1.2290754	-0.2561517	-0.50999546	0.059849203	1.0243134	0.5160571	0.24770646	0.89286786	-1.613763	0.14677334	0.887129	1.4180996	-0.050647497	-0.9811422	2.0050564	-0.7873764	-0.6095364	-0.5038672	1.0906605	-3.2681327	1.0645407	0.70064706	-0.5150713	-1.0993509	1.1394628	3.8904183	1.355939	-0.7374349	1.1672384	-1.4551947	-0.35419664	0
852	TCGA-D8-A1X9-01A	1.3169519	-0.16308296	0.7822839	-0.43034694	-0.55976605	0.22079796	-0.27982038	-0.40548944	0.032929346	-0.61796427	-0.8473697	-0.15567735	-0.70386523	0.23690815	0.74314475	1.6179514	-0.21680121	0.3768716	-0.1644347	-1.7117479	-1.0140202	0.18591812	-0.522069	-0.31707257	1.9055237	0.12913527	-0.5627647	-0.13551629	0.21458119	1.2187855	1.0574101	-0.49322486	-0.10206032	-0.15755646	0.101627715	-0.73887384	-1.217094	-1.4182236	-1.8364896	-0.573107	-0.78274024	-0.1220515	0.7460456	0.36484072	0.80072117	-0.44175786	-0.47337347	-0.26874408	0.6380632	0.36495176	0
857	TCGA-D8-A1XF-01A	1.7363037	-0.25213277	0.08705798	-0.7777117	-0.4332081	0.19140874	-0.27543232	1.1302949	0.98120505	0.6269885	-0.3015061	2.5488257	-0.85138047	-1.1031822	0.89517796	0.5852906	-1.184198	-2.7509158	0.9897722	0.5088927	0.08252764	0.053447593	-0.14352807	0.9697891	-1.9106672	-0.23973057	-1.5211262	1.2046239	-0.4177597	-0.014071509	0.5270785	-0.13887972	-0.26566213	-0.9545094	-1.8374732	0.0037412345	2.7317939	-1.1942035	-0.96447	0.8579719	0.3441743	-0.24828559	0.57563484	1.5105085	-1.590955	-2.1216774	1.1097845	-1.8070786	-0.06198197	-0.6406617	0
860	TCGA-D8-A1XK-01A	-2.4169068	-0.033801436	-0.9128298	-0.9440609	1.180269	0.33974308	0.5237179	0.4294742	-0.12700595	-0.27266327	0.59240544	-1.1417748	0.072450876	-1.2467506	0.08892092	-1.0219533	-1.1558194	2.1660054	0.42218438	-0.55609345	0.50542206	0.8108921	-0.21461944	0.65993583	-0.98494	0.8611728	1.1979046	-1.1795303	-0.60982	0.30446374	-0.038112998	0.12392964	-0.079021126	-2.3575082	-1.9161191	-1.1251228	0.3974873	0.59160274	-0.55007535	0.46151015	0.84014004	-0.107854314	-3.1388001	0.08225781	0.8657346	-0.4309273	-1.3135096	-0.89476556	0.537763	0.77742416	0
861	TCGA-D8-A1XL-01A	-0.26267433	0.21983913	0.22055858	0.00071953237	-0.23370224	0.36680704	0.56196165	0.3027916	-0.6118885	0.15568617	0.98824185	-1.431994	0.22653231	1.6725837	-0.28834617	-1.0787145	0.40373135	2.1278267	-0.9264717	0.09764737	-0.9406929	0.8695354	-0.12610793	-0.116380244	0.5403061	1.0317489	-0.54110783	-0.52654684	-0.5155026	-0.3495449	0.118846595	0.2998457	0.21055686	-0.055768467	1.1477108	-1.6759164	-2.2592096	-0.07070857	0.22773331	0.5764087	0.4913547	-0.30419242	-1.8835177	-1.6859112	0.22736742	-0.677726	-2.4876587	0.06499088	0.17806782	1.1427611	0
865	TCGA-D8-A1XR-01A	-5.322138	0.770413	0.8985843	2.3075628	3.0927167	0.6179093	-0.26649326	-0.33110893	0.65338606	0.06916392	0.29543322	-0.84574336	-0.007517755	-2.4940758	-1.2093887	-0.39163098	0.34576532	1.3259357	1.9400117	0.8463863	-0.7544661	0.122768044	1.0522124	0.7781033	-0.7378921	-0.5819117	1.0971268	-2.2878766	0.50820667	0.35457283	-0.33944255	0.68507326	-0.92925096	2.55393	0.945386	-1.8516434	0.15217346	2.6355107	-3.530954	2.6852171	-1.8848577	0.9144655	-2.5324159	0.3372016	4.3090863	1.8146687	0.08826485	2.013329	-1.494245	-0.8843013	0
866	TCGA-D8-A1XS-01A	-0.8111432	0.48733637	0.4577584	-0.34909487	-0.45369944	0.327389	0.23555161	0.7621359	-0.117070496	-0.5650657	0.10983473	0.07579151	2.0048013	-1.2272737	-0.5600211	1.5898756	-0.7748904	0.89217824	-0.8448937	0.61225027	-0.29945686	-0.15910946	1.1007104	0.09874016	-0.0057810396	-0.4307937	0.7565583	0.64453566	0.6268328	-0.30157757	-0.6166513	1.0295565	0.921435	-0.5666728	0.7447507	1.3127434	0.19970126	0.61561376	-2.71513	-0.68506503	0.012224438	-0.21096468	-0.8234972	0.8552831	1.629564	0.3313822	1.2413008	0.09432793	-0.31082404	-0.13398296	0
867	TCGA-D8-A1XT-01A	-0.24093822	-0.488131	0.225142	-0.37889704	0.073157564	-0.6214086	0.76634043	0.030579098	-0.61179686	-0.47263104	-0.26665682	0.5615612	-1.053443	-0.41056526	-0.05708439	0.7852607	-1.0545571	-1.0411547	0.13236316	0.30135837	0.08151485	-0.50886256	0.45358038	0.32448328	0.7367988	-1.5312515	-0.55789715	0.3983569	0.9255229	-0.37098593	0.1467511	0.20473894	0.3076951	-0.743992	-0.8375119	-0.29874364	0.20850827	-0.22374834	0.9084109	0.3849159	0.7981342	-0.47831142	-0.9083894	0.04089564	-0.4902592	-0.035891995	0.13065197	0.5902754	0.6406413	0.0063222405	0
870	TCGA-D8-A1XW-01A	-1.2556893	-0.10168361	0.9087461	0.9831362	0.32541478	0.81245595	-0.1329387	-0.79803574	-0.5542839	1.1278982	-0.5703521	0.6748515	0.21147443	-0.48937264	0.12913492	0.24803418	-1.2326508	-0.5003151	0.1988334	-0.45664147	-0.2528554	-0.019674793	-1.3238649	-0.48210865	-0.44593158	-0.8368912	-0.20364934	0.03625965	0.19345531	0.7592225	1.9410988	1.6072445	-0.30881307	-0.8784485	-2.27378	0.44099987	0.7708825	-0.14874136	0.11732283	-0.54774255	0.37307855	-0.00018349476	-1.3367544	0.4063372	0.4202984	-0.364208	0.12209788	-0.22803237	-0.20175107	-0.22896212	0
871	TCGA-D8-A1XY-01A	-0.06618298	1.6354139	0.4893107	-0.028899128	1.9764438	2.4353135	-0.45598415	1.885283	0.9984338	-1.379375	0.46017382	-1.5379846	-2.3125033	0.38872996	-0.90659356	1.8992054	0.13631274	1.4770145	-1.4972715	1.1688519	-0.53191745	-0.082885236	-0.03391479	-1.5928128	0.98530936	-0.3432134	0.25369775	-0.3424099	0.91029835	-0.106821224	0.5761466	0.22686173	-0.36782646	1.9359472	1.8857995	0.7185805	-2.0042493	0.687323	-3.4290137	0.78453237	0.22103676	-0.7236886	0.47273657	0.23235378	0.93427217	-0.7019025	-0.24368694	-0.23208062	-0.3747876	-0.59237236	0
