	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
TCGA-BH-A0BM-01A	-0.7092561	-1.7344656	-0.21215577	1.964988	-0.40432614	-0.25315583	1.5550412	-0.3791079	-1.4670763	-0.5559062	5.1665854	-0.26717532	1.0875998	0.28737885	-0.84082615	0.0093485415	-1.2376548	0.17989296	0.11650088	1.0398148	-0.3499071	5.976032	-1.3790538	0.8359078	-0.2434046	-2.2511904	0.77309406	2.174376	-1.4487445	0.85459536	0.2937752	0.29333457	1.274395	0.6643738	1.8590667	-0.75791687	-1.9279878	-0.42204168	-0.88996994	-0.40848064	-1.2305666	-0.5346869	1.0029511	-0.9282763	3.184726	-0.36070174	0.099312335	-1.5122175	0.9786953	0.47737136
TCGA-AO-A03O-01A	0.46449596	-1.0714213	1.3384271	-0.6557714	0.63571274	-0.28314966	0.3272654	0.6259603	-0.17065452	0.6422913	-3.301326	-0.6890032	0.61320937	1.5898219	0.8862533	-0.16691427	0.016326576	0.66246045	0.4953084	-0.41718334	0.48514387	-1.9328257	1.5271837	0.38969773	0.22202373	0.43595195	1.0467293	-0.97783506	-0.1264605	1.0173246	-0.18572772	-1.59538	0.81161946	-0.12268999	0.5977207	0.27863657	0.3526941	0.36259863	-1.3471894	-1.8355427	-0.8234818	0.08286598	-1.0099013	0.28146657	-0.6026061	0.24894984	-0.5898551	-1.0188327	-0.033182427	-0.3094431
TCGA-AC-A4ZE-01A	-1.5408288	0.15464765	0.29377794	0.9462338	-0.50496906	0.23579648	0.77202964	0.20890638	-1.0222852	0.9749552	-0.4637053	-0.60323304	-0.6248739	-1.2030745	0.41339317	0.47197634	-1.0002465	0.45093682	-0.45338988	-0.109514505	-1.0390832	2.3915308	2.1553464	1.0987614	-1.0430484	-0.19047698	0.8402736	-0.8373531	-0.56525624	0.26259455	-0.07196295	0.6577285	0.26633394	0.100042254	0.4616619	0.2028808	1.1949623	0.9155431	0.95875216	0.7581368	-0.5929915	0.72293735	-0.5528631	-0.27566758	3.4670103	1.1727688	0.88702494	1.0281606	-0.9024536	0.34078982
TCGA-E9-A22A-01A	-1.8252809	0.3611592	0.6892632	-1.2235028	0.12622343	-0.2515762	0.049116015	-0.7416823	0.754089	-0.8899369	3.0335772	0.1451216	0.2999924	-0.13574329	-1.2305895	0.62324446	0.5200529	-0.059956647	0.057420105	0.33703315	0.2520705	-0.9250264	-1.0074891	1.618973	-0.12469572	0.48984826	-0.50778896	-0.3410216	-0.34440166	-0.32860163	-0.40941703	0.34099162	0.73980975	0.6117948	0.25489607	0.56822866	1.1244171	1.0576276	1.0600857	-1.0962404	0.27696624	0.03299731	1.337602	-0.44954023	-0.2512993	0.8686738	-1.6496509	-1.0218537	-1.3285837	1.0331928
TCGA-BH-A1FE-01A	-0.3167826	-0.117725536	0.1479645	-0.44046044	0.5911065	-0.0019997656	1.512845	-1.8563989	0.16377044	-0.53975856	-1.409529	-1.1452627	-0.14186376	0.1836697	0.055650786	0.0896344	0.12499196	0.23234716	-0.7009913	0.2819609	1.205096	1.1599036	-0.48032328	-0.7896147	-0.3066516	-0.46211815	-0.24170782	1.6428556	-0.15907533	0.6460578	-0.7161764	-0.31176922	0.56323326	-1.0166255	-0.056828275	-0.46937698	1.7440746	-0.52540624	-0.7614113	-2.501517	1.061996	-0.82452846	-1.8001103	-0.04142558	-1.4128793	0.1339154	0.65779346	0.5748988	-0.083072096	-0.18118723
TCGA-BH-A1FE-11B	2.121439	-1.0949564	-1.0060549	-0.17226171	-1.7874395	0.5731226	3.482117	-0.61495256	-2.6719127	-0.557931	2.586521	-0.38517016	-0.01632148	-0.4775294	-0.12768663	-1.1335268	-2.8936563	-0.53396493	0.14209679	0.6398506	1.496917	5.434526	-0.17893915	-2.9710913	2.5249066	0.28898078	-2.4348383	2.490363	-0.70875496	2.875053	-1.0240206	-0.24627051	0.5159972	1.9844942	0.07946971	-1.3870761	0.8030503	1.0940009	-3.2414668	-3.6804476	0.73382187	1.5348663	-2.1141014	-1.4558725	3.0992699	-1.879741	2.851725	-1.2476789	0.54830354	2.006407
TCGA-A2-A3XX-01A	-1.984761	0.3185048	1.3507874	-1.1908994	-0.8751839	-0.095795825	-0.20617431	0.6486085	-0.41727528	-1.7976348	0.09894188	0.37951845	0.13884318	0.53639495	0.6817226	-0.1534698	-0.27568507	-1.0197526	0.3472924	-0.08189987	-0.3458958	-1.2442981	-0.32524124	0.010164484	0.75416243	1.9221342	-0.23408417	0.29417402	-0.32981652	0.91011983	-0.24586597	-0.13839981	-0.39564425	1.7303767	-2.3994853	-0.18120009	3.6678426	-0.9224064	-1.4762492	-1.4950633	-1.5421416	-0.40937793	2.2962997	0.78951436	0.7949892	-1.3087692	1.2572889	3.425067	1.2155211	-0.35505307
TCGA-A8-A095-01A	-0.386881	0.32448557	-0.32853392	-0.105716184	1.1257713	-1.4652596	2.7587082	0.5766393	-0.5919306	-0.064107	0.6658546	0.40142193	0.43262225	0.11090158	0.2299023	0.88643104	0.17063719	1.1387714	0.8242355	1.4595878	-0.3370734	2.8972523	1.755668	1.403723	-0.11646995	0.7543636	-0.87183857	0.93013686	-2.0032158	0.09380656	0.064988315	-1.1911409	-0.16170402	-0.37085456	0.2494644	0.36182976	2.674312	0.5048567	0.8643304	1.047471	0.31239596	-0.17362267	-3.3639061	-1.6379364	1.4924425	0.10518117	-2.381754	1.2622606	-0.3768452	0.3673462
TCGA-AN-A0FL-01A	-0.37006265	0.4679963	-0.091459066	-0.3338495	-1.0877565	-0.9030157	-2.111241	1.7999427	0.6253305	-1.2828468	2.6662276	1.048133	-0.6513696	0.0687069	-0.36043966	0.22705838	-0.28830883	-0.39607006	0.20482846	0.0041352212	0.071129024	-1.7972547	-0.4927788	-0.06101051	0.6810268	0.24429138	-0.04798214	0.83039415	-0.27647555	-0.124584824	0.51040936	0.10650201	0.104506105	-0.2837596	-1.0629724	-0.44753528	-0.54219306	-0.17292044	-0.25405884	-2.574166	-0.6255238	0.10430945	1.5400492	-0.17514099	-1.6842234	0.2515816	0.9301413	0.78447574	0.6345113	1.202276
TCGA-D8-A1Y2-01A	-1.6671604	0.72771806	0.34652108	-0.87145185	-0.02968585	-0.7583109	-0.22036792	-0.73337805	1.0025456	-0.22182842	1.9174026	-0.09199885	0.15451393	-0.83324933	-0.44546515	0.12239441	0.63140213	0.12056404	1.7874537	0.34814173	1.707584	-0.6512552	0.24309702	1.8101547	0.31597152	0.25986406	-0.119547546	-0.087028205	-0.04946533	-0.8558604	0.05806995	-0.18093845	0.76015866	0.6509931	-0.31574005	-0.20531417	2.6963964	-0.05700931	1.8916131	-1.6199113	-0.520654	-0.053067	0.9884565	0.05662617	0.17370626	0.39984462	-2.083673	-1.2047173	-0.47896916	0.42781615
TCGA-C8-A138-01A	-0.80064136	-0.3045509	-0.05174817	1.638923	-1.1186879	0.5458681	-0.83094513	1.0103304	1.3620166	0.26047787	1.35531	-0.2888669	0.020522177	-1.8384808	-0.03559476	-0.67813545	1.1072965	-1.6888329	0.7414125	0.64205813	0.41895008	-1.9037192	0.6735376	0.7089593	0.2756125	-0.18309937	-0.14294842	0.35930094	-0.3138041	-0.9943705	0.00038412958	0.77120245	0.33174574	0.20905595	1.1997535	0.26479986	2.1019459	1.2402396	1.7835594	-0.87726605	-0.5880412	-0.89785916	1.0404397	0.4711753	0.4542977	0.3862155	-2.355372	-0.37231392	1.0403999	0.89581037
TCGA-AR-A255-01A	-0.44344455	-0.011093736	-0.11572971	0.26520938	0.9966815	-1.1680772	1.9801984	-0.5621605	-0.108648516	0.040948242	-1.907087	-0.976911	0.31069034	0.3337758	-1.157555	0.15097207	-0.05205168	1.0915612	0.5507107	-0.72606564	0.53029746	1.0259314	0.9404459	1.7518946	0.59509027	-0.47804183	0.24623558	0.24239962	-0.36274183	0.65212333	-0.33062863	-1.3909456	-0.22546771	-0.8263074	-0.0013478398	1.074522	2.1934292	0.45810616	-0.009096175	-1.3717012	-0.56606483	0.019352498	-2.177363	0.24231192	-0.52942264	-0.011555374	-0.72309405	1.0557494	0.41842797	-0.2543383
TCGA-GM-A5PV-01A	-0.688871	0.25645143	-0.46609402	-0.39456165	0.4402004	-0.5244739	0.8133619	-1.0758599	-1.978392	0.3423885	4.5492325	-1.174904	-1.1822492	0.95409596	-0.5709188	-0.035449088	-0.5971532	1.5716825	2.4096076	1.2999655	-0.1658746	5.8637843	-0.1377251	-0.34603935	-2.6034732	-0.8944166	0.548658	-0.42032874	-2.9652634	1.3526508	0.17791402	-3.8827853	0.25318748	1.0760487	1.5092417	-0.25649622	-1.769426	-0.44424617	-1.4285035	0.68820393	0.4483589	0.5420021	0.78549993	0.02444601	3.9987876	0.19756192	-0.26367414	-3.0567608	0.9534552	0.7591282
TCGA-E2-A108-01A	-0.75764555	0.118144155	-0.45969936	-0.83740443	-0.9934965	0.5288973	-0.33107194	-0.83100873	0.3201573	-0.42650253	-0.7677129	0.7085858	-0.13323604	-0.73524016	0.5963275	0.5043092	-1.7039549	-0.45548654	-0.59816706	0.61074626	0.4118808	0.9491575	-0.39808613	-1.2975106	0.03351015	-0.21003947	-0.4411351	-0.55167234	-0.25871655	1.1275945	0.8814457	-0.6347121	-0.47215	0.5025916	-1.2147744	0.35090244	3.275212	0.4147862	-1.7701935	-3.4041157	0.65290785	-0.06668282	1.0613432	-0.21602756	-0.30926448	0.11001971	-0.99754524	-0.7152991	-0.010538936	-0.66044766
TCGA-AC-A2BM-01A	-0.7660244	-0.3665061	-0.13189855	-0.06719095	1.3493588	-1.3783066	0.89970225	1.5039183	0.31655055	1.1097124	-2.852416	-0.7292678	-0.47019106	-0.68565	0.8382982	1.9844599	-0.18225777	1.4789732	0.43888423	-0.33364555	0.40089214	0.3649351	2.4599948	1.5323865	-0.55820423	-0.073790304	0.64563763	-0.029298037	-0.5345053	0.82768697	-0.05601641	0.77510655	-0.24976468	0.010710061	0.5394467	0.8364676	1.6683433	0.46160448	-0.105634004	1.7342794	0.13566446	-0.4182532	-2.5391924	-0.790226	0.67458063	0.26026484	1.5169383	0.8611232	0.5575336	0.37190762
TCGA-E2-A1IN-01A	-0.8995311	0.8150234	0.7107078	-0.63198394	-0.22784744	0.27984118	2.1355166	-1.1604226	0.8027587	-0.15788054	3.246974	-0.32662803	0.28399852	0.21218188	-0.7424219	-0.08490975	0.65690905	-0.6201653	-0.191428	0.19069526	-1.5382309	0.24872111	-1.8088697	0.35849437	1.3256452	0.29939488	-1.25418	0.4104995	-0.659646	-0.26194066	-0.4748674	0.26719722	0.3153934	0.24367802	0.2276299	-0.10955417	-0.1649451	0.20639503	-0.10583937	0.50665414	-0.82670724	-0.02913779	0.15490797	-0.79437333	0.63479644	0.9216089	-0.68280476	0.88389695	-0.4141044	1.620581
