Gene	Pearson_r	abs_r
ENSG00000247287.3	0.5404453663008064	0.5404453663008064
ENSG00000127415.13	0.5403751753437551	0.5403751753437551
ENSG00000104957.14	0.540169826374796	0.540169826374796
ENSG00000168010.11	0.5399452141666442	0.5399452141666442
ENSG00000228315.12	0.5399280975271574	0.5399280975271574
ENSG00000277744.1	0.5398727583883147	0.5398727583883147
ENSG00000152154.11	0.5394018153223592	0.5394018153223592
ENSG00000272849.1	0.5387043307468398	0.5387043307468398
ENSG00000279861.1	0.5386149295315146	0.5386149295315146
ENSG00000068745.15	0.5377318471230693	0.5377318471230693
ENSG00000162572.21	0.5373416458539169	0.5373416458539169
ENSG00000095059.16	0.5363391044703109	0.5363391044703109
ENSG00000243970.3	0.5363085386677691	0.5363085386677691
ENSG00000283031.2	0.5354135747622013	0.5354135747622013
ENSG00000205959.4	0.5353205930598637	0.5353205930598637
ENSG00000266904.6	0.5352320214220693	0.5352320214220693
ENSG00000206149.10	0.5351544807928132	0.5351544807928132
ENSG00000243477.6	0.534849961653017	0.534849961653017
ENSG00000230415.1	0.5347061359586667	0.5347061359586667
ENSG00000161649.13	0.5340928212570423	0.5340928212570423
ENSG00000219200.12	0.5339760551073741	0.5339760551073741
ENSG00000137225.13	0.5336117811175596	0.5336117811175596
ENSG00000269958.1	0.5334162121483784	0.5334162121483784
ENSG00000235257.9	0.5330618640019894	0.5330618640019894
ENSG00000168852.13	0.5328573262680371	0.5328573262680371
ENSG00000244560.7	0.5328227340156586	0.5328227340156586
ENSG00000242294.6	0.5327427421538621	0.5327427421538621
ENSG00000117425.14	0.5327026642270767	0.5327026642270767
ENSG00000187609.16	0.5319940759506789	0.5319940759506789
ENSG00000184271.17	0.5319801282207227	0.5319801282207227
ENSG00000230715.3	0.5319729480312525	0.5319729480312525
ENSG00000105662.16	0.5317706250830152	0.5317706250830152
ENSG00000132522.16	0.531759955921522	0.531759955921522
ENSG00000136878.14	0.5314736356559147	0.5314736356559147
ENSG00000258682.1	0.5314706966726918	0.5314706966726918
ENSG00000244480.1	0.531441195940194	0.531441195940194
ENSG00000288663.1	0.5310265349749606	0.5310265349749606
ENSG00000213139.8	0.5309978162537989	0.5309978162537989
ENSG00000273183.1	0.5306174663770273	0.5306174663770273
ENSG00000159733.14	0.5304826888158978	0.5304826888158978
ENSG00000150977.10	0.5299366704405217	0.5299366704405217
ENSG00000160271.16	0.5293821682410035	0.5293821682410035
ENSG00000266896.1	0.5292024319048546	0.5292024319048546
ENSG00000058453.17	0.5288322938370277	0.5288322938370277
ENSG00000168826.16	0.5280684537035711	0.5280684537035711
ENSG00000198089.16	0.5279085945007813	0.5279085945007813
ENSG00000095066.12	0.5274768803882697	0.5274768803882697
ENSG00000261326.4	0.5273319224110848	0.5273319224110848
