	Ensembl_ID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	response_group
599	TCGA-BH-A0DD-01A	0.037665166	0.7616762	-0.028709844	0.6777657	1.2098744	-0.64885455	2.0481062	0.34501073	-0.3003806	-0.0044440627	-1.1196051	-1.0588939	-0.37439582	-0.61845005	0.44242263	-0.46534866	-0.009952128	0.19713232	-0.302657	-0.71882194	0.017486587	-1.7630385	0.51919687	0.25324067	1.1261511	0.00056900084	0.53459376	-0.6859559	-1.1747789	0.71316755	-0.27439076	0.12904525	1.3216128	0.23898289	-0.6445651	-0.0017060861	2.9440994	-0.58979917	-0.73694515	0.7626553	0.9395155	0.22794743	-3.2021809	-0.9432327	-0.4625939	-0.34116498	-0.20836334	0.70412683	0.11937602	-0.2790199	0
600	TCGA-BH-A0DD-11A	4.040919	-3.0587785	-0.122362316	-1.3416145	-1.8901924	2.9531775	5.6740384	1.7325547	-3.9659443	-0.97098935	2.2491844	0.13047448	-1.3676105	-1.3827348	-0.74934256	-1.5084106	-4.1181073	-1.2781367	0.15393335	2.8489892	-1.6485066	1.809059	-3.0018663	-3.010471	-4.274879	-0.6609788	-0.6293304	1.3789272	0.6508516	0.43635666	-0.13204938	-2.4250784	-3.3370419	0.98681843	-4.1845193	0.40431613	2.1599286	0.42657882	-7.7597523	-3.518028	0.8971417	1.1584889	0.7842352	-1.9554088	5.4600983	-1.5557432	-3.449137	-0.8285574	1.0205805	1.2120833	0
602	TCGA-BH-A0DG-01A	-1.353355	0.24030223	0.001423642	-1.666288	-0.5783603	0.6424717	1.1564769	-1.3352823	0.1960797	-1.4021552	-0.60682845	-0.50857884	0.018647045	0.26053992	-0.45148245	0.23845124	0.33946517	-0.55675954	-0.5602963	-0.582711	0.18330905	-0.34825698	-0.49574167	0.63069516	0.17466402	-0.4394659	-0.45242563	-0.7793066	0.6713478	-0.77049005	-0.6891601	0.9588864	-1.0049583	0.089858145	-0.8631601	0.3699356	1.86611	0.43859458	-1.435951	-1.9916945	-0.52246004	-0.5389105	1.2321707	-0.42612714	-0.2906554	0.5158055	-1.4752135	0.43285212	0.96159923	1.0388949	0
603	TCGA-BH-A0DG-11A	1.6468346	-0.303523	0.15160954	0.0033305883	-1.450468	0.60261977	4.6812935	-1.5462359	-3.7482877	-1.6729131	2.1711628	-0.69565976	-2.1076252	-0.6156992	-0.39469087	-1.2582989	-1.9896543	-1.0168679	0.9934472	-1.861033	2.4793293	6.2648315	-0.37970626	-3.3590293	-4.4030876	0.26146805	-2.3529794	0.9078467	-0.48439488	0.81207657	-0.37383	-0.30334514	0.6982974	0.27022737	1.2377092	-1.5374149	-0.07744004	1.004559	-3.5792367	-1.3363453	1.3578211	2.170488	-1.142481	-1.5552614	5.0322585	-1.0720435	1.9050733	-1.1584918	-0.35067335	2.1861937	0
604	TCGA-BH-A0DH-01A	-0.58592343	0.6020318	0.25626427	-2.0974236	2.0276601	-1.7098337	1.1599675	0.29372036	-0.3741941	-0.19619793	1.2014977	0.2801634	1.2316276	2.366181	-0.18719077	-0.79170406	-0.8543043	2.2375445	-0.45537373	-0.010723621	1.2949705	0.9860215	1.4383724	-0.0948797	0.48018548	-0.6754455	0.95928043	0.07348974	-0.35874045	1.4548013	0.21928605	-0.38487485	-0.39954036	0.060208723	2.6540504	-0.5836896	-1.1594511	0.11651729	2.125369	1.7179713	-0.7411401	-0.58764815	1.3483156	-0.47839367	0.6781941	-0.6848229	-2.2504451	-3.4516642	0.47159964	-0.19349557	0
606	TCGA-BH-A0DI-01A	-1.4605205	0.6457366	0.26380104	-1.1354349	0.36378324	-0.12593041	0.2881701	-2.047964	-0.12877552	-0.9916205	0.7545273	-0.42858922	-0.43374753	0.13193263	-0.21615732	0.30654523	-0.44372353	-0.6842707	-0.41357535	-0.94326186	-0.7079153	1.4061704	-1.2366866	-1.2103622	0.16471358	0.12649938	0.020034686	0.04814875	-0.2957992	-0.034503102	-0.7756889	0.11626918	-0.0735151	-0.9970026	-0.905236	0.28849012	1.4080082	-0.28026783	-1.7823039	-1.9289315	-0.6518748	-0.09093255	1.9337232	-0.566936	-1.4528762	-0.30264696	-0.60522217	-0.29869604	-0.64013004	-0.14308697	0
609	TCGA-BH-A0DL-01A	-1.2987448	0.16640453	0.5357862	0.0771758	-0.73251396	0.051477015	-0.14435461	1.7203332	0.27061766	-0.76550907	1.0334474	-0.14030796	-0.036578916	1.1598283	-0.25676674	0.9163204	-1.2247581	-0.2913153	0.06370951	-1.083282	-0.21901688	-2.8496284	0.7003203	0.7791742	1.5958226	0.14491817	0.21240248	-0.21606365	0.9605615	0.35937524	-0.4880083	-1.0709386	0.41053995	-0.24788207	-2.5028465	0.92773974	4.4092054	0.078117184	0.27032834	-3.2513165	-0.94889826	-0.76828825	0.04806223	-0.044867605	-0.42263925	0.64924437	-0.99882334	0.95717	-0.107052684	-0.605916	0
610	TCGA-BH-A0DL-11A	0.90558004	-0.6336349	0.18337859	-0.44638255	-3.2732189	2.3154368	4.501126	-1.9820281	-1.5760272	-1.7690849	-0.55059755	0.94536215	0.00084804	-0.86011046	-0.31761813	-1.2079924	-1.6020267	-1.5088111	-0.077399194	-1.6235858	0.87972856	3.9330714	-0.5391419	-2.710189	-1.6872613	-0.76753724	-1.5135713	2.824309	-0.18514511	0.97709155	-0.7576336	-2.8294778	-0.15182129	-1.3616124	0.3689705	-1.8507133	0.87278455	0.9787079	-4.0559754	-2.3693419	0.65005064	0.32255778	-0.3132623	-0.4089046	5.2995157	-1.130493	-0.2108761	-0.9384395	-0.565743	1.1996386	0
615	TCGA-BH-A0DQ-01A	-0.7565317	-0.2203593	1.170652	-0.5166421	-0.1267375	-0.036241055	0.91817796	-1.428694	0.9650894	0.29941404	0.73926115	-0.4820276	0.20939195	0.7671218	1.6301234	0.25615966	-0.35509598	-0.6059521	-0.25821304	0.20336792	-0.5514291	0.6973801	-1.2828263	0.6980156	0.98805326	0.96826524	-0.45995277	1.00089	0.66328156	-0.0319826	-1.0654027	0.8968366	0.6506173	0.85309523	-0.36702985	0.19952294	0.034555897	0.028073668	-1.1985621	-0.85016257	0.62852925	0.3569733	2.796445	0.36030138	-0.380979	-0.13696757	-1.9191539	0.8215405	0.057198063	0.45335352	0
617	TCGA-BH-A0DS-01A	-1.6489621	0.8869618	0.7227913	-1.2233822	-0.16487578	-0.11721593	0.80818844	-0.58805233	0.1910257	0.8502074	2.866549	0.20164889	0.74210656	-0.24744949	-1.4397919	1.0260952	0.161203	0.4787774	-0.5076106	0.22251064	1.3146596	-0.6130103	-0.7359804	1.7647507	-0.5026244	-0.6332762	0.35324758	-0.11577344	-0.73820764	-1.0463737	1.3038449	0.335162	-0.3495222	-0.13354777	0.7424997	0.33225125	0.5479857	0.3805989	1.3677422	-0.0326926	0.46773803	-0.18890895	1.1857133	0.18595687	1.1064577	0.64782673	-2.8306863	-1.2075585	-0.85061324	1.0171394	0
618	TCGA-BH-A0DT-01A	-1.5113567	-0.5477797	-0.7387191	-0.33214265	0.51304746	0.10410291	1.696569	-2.525521	-1.7483728	0.9649902	1.045909	-0.58660936	1.2021613	0.8742305	-0.6808779	-1.3307164	-0.2780471	1.1318809	0.41763148	-0.21922961	-1.3132772	4.6335397	0.30795905	0.43791938	0.81080604	-0.263107	-0.2693315	-0.20564193	-0.6705932	0.8759584	-0.40317196	-3.7673137	0.94933236	0.32753772	0.4668401	-0.38236022	-0.7410062	-0.9314408	-0.13826454	-0.2409474	-0.66057134	0.048857078	-0.1578522	-1.505716	1.5892633	-0.1055464	-0.033639938	0.33751932	0.1871086	0.7697636	0
619	TCGA-BH-A0DT-11A	1.0730646	0.09005633	0.3238203	0.18025072	-0.46873632	-0.30638048	4.888807	-1.822401	-3.1742382	-1.8909192	2.6709905	-0.09619179	-0.27576512	0.39568654	-0.44083485	-0.74483246	-2.7111425	-0.7838203	-0.20990357	-0.9921297	3.5783665	6.7781525	-1.0840878	-3.2312272	-0.29477012	-0.5960355	-1.8116791	3.1027946	-0.9752773	1.2878449	-0.83323455	-1.3204529	1.0237356	-0.88384914	1.4509007	-2.4600973	-1.3535551	-0.41287458	-3.1948228	0.0068666968	-0.10390693	0.76858795	-0.5401648	-3.1816058	3.9301534	0.065707326	1.5200399	-0.7435342	-0.53254706	1.7360334	0
620	TCGA-BH-A0DV-01A	0.26085928	-0.35226563	-0.15092918	-0.8061793	0.38870788	-1.1553812	0.6304591	-1.7161293	-1.274674	-0.9985484	2.7297251	-0.8667899	0.3879845	0.5853564	1.2564667	1.3978242	-2.7668493	-0.30627015	-0.29426056	-1.0707605	-3.6190531	4.186496	-1.866851	-1.5053396	0.8412776	0.3977246	0.42117697	-0.9442373	-2.2677867	1.7698789	1.1051655	2.003039	-0.19558808	0.06150193	0.08426013	-0.21564801	-0.37211305	-0.8608085	-2.5683014	-1.4961628	-0.56851214	1.280616	3.0064228	-0.09267266	-0.7442631	-0.70833826	-1.4134322	-1.6058469	-1.1149633	0.73366374	0
